Turn,"	PCSAFTExample",PEPFinder
1,0.085355,0.071507
2,0.085404,0.067852
3,0.085735,0.103857
4,0.085808,0.103081
5,0.086042,0.119701
6,0.086075,0.094296
7,0.086251,0.097675
8,0.086311,0.090789
9,0.086815,0.084177
10,0.087377,0.087124
11,0.087607,0.082495
12,0.088023,0.079031
13,0.088041,0.069086
14,0.088488,0.080165
15,0.089184,0.075606
16,0.090031,0.067323
17,0.090066,0.061516
18,0.090896,0.064923
19,0.092481,0.063332
20,0.092668,0.064062
21,0.093367,0.068115
22,0.095389,0.061632
23,0.103791,0.069387
24,0.111465,0.068645
25,0.119221,0.074118
26,0.119864,0.065002
27,0.120621,0.069509
28,0.120936,0.070867
29,0.122003,0.068065
30,0.122287,0.075024
31,0.122349,0.068223
32,0.123324,0.075239
33,0.124291,0.076316
34,0.126861,0.077138
35,0.129372,0.066859
36,0.131582,0.071003
37,0.133742,0.061889
38,0.134152,0.076277
39,0.135687,0.073091
40,0.136773,0.071055
41,0.153412,0.069306
42,0.156087,0.061486
43,0.156677,0.064638
44,0.157268,0.070266
45,0.158306,0.075385
46,0.158597,0.073518
47,0.180657,0.067607
48,0.224836,0.071866
49,0.112657,0.068742
50,0.142862,0.080923
Min,0.085355,0.061486
Max,0.224836,0.119701
Mean,0.11574188,0.07477578
Median,0.115939,0.071029
